species_cluster,Accession_number,Location,Biogeographic_region
2,MH550347.1,Canada: Bristish Columbia,WEST NA
2,KJ146700.1,Canada: Bristish Columbia,WEST NA
2,MN176998.1,USA: Arizona,WEST NA
2,AY996681.1,USA: Idaho,WEST NA
2,AY996680.1,USA: Idaho,WEST NA
2,AY996688.1,USA: Idaho,WEST NA
2,AY996701.1,USA: Idaho,WEST NA
2,AY996629.1,USA: Idaho,WEST NA
2,AY213554.1,USA: Idaho,WEST NA
2,AY996722.1,USA: Idaho,WEST NA
2,AY996721.1,USA: Idaho,WEST NA
2,AY996665.1,USA: Idaho,WEST NA
2,AY996675.1,USA: Idaho,WEST NA
2,AY996674.1,USA: Idaho,WEST NA
2,AY996707.1,USA: Idaho,WEST NA
2,AY996683.1,USA: Idaho,WEST NA
2,AY996661.1,USA: Idaho,WEST NA
2,AY996657.1,USA: Idaho,WEST NA
2,AY996656.1,USA: Idaho,WEST NA
2,AY996654.1,USA: Idaho,WEST NA
2,AY996652.1,USA: Idaho,WEST NA
2,AY996639.1,USA: Idaho,WEST NA
2,AY996638.1,USA: Idaho,WEST NA
2,AY996637.1,USA: Idaho,WEST NA
2,AY996636.1,USA: Idaho,WEST NA
2,AY996635.1,USA: Idaho,WEST NA
2,AY996633.1,USA: Idaho,WEST NA
2,DQ011905.1,USA: Idaho,WEST NA
2,AY996653.1,USA: Idaho,WEST NA
2,AY996700.1,USA: Idaho,WEST NA
2,AY996699.1,USA: Idaho,WEST NA
2,AY996678.1,USA: Idaho,WEST NA
2,AY996672.1,USA: Idaho,WEST NA
2,AY996660.1,USA: Idaho,WEST NA
2,AY996659.1,USA: Idaho,WEST NA
2,AY996658.1,USA: Idaho,WEST NA
2,AY996706.1,USA: Idaho,WEST NA
2,AY996716.1,USA: Idaho,WEST NA
2,AY996715.1,USA: Idaho,WEST NA
2,AY996708.1,USA: Montana,WEST NA
2,AY996709.1,USA: Montana,WEST NA
2,AY996624.1,USA: Montona,WEST NA
2,AY996693.1,USA: Montona,WEST NA
2,AY996650.1,USA: Montona,WEST NA
2,AY996646.1,USA: Montona,WEST NA
2,AY996644.1,USA: Montona,WEST NA
2,AY996643.1,USA: Montona,WEST NA
2,AY996642.1,USA: Montona,WEST NA
2,AY996641.1,USA: Montona,WEST NA
2,AY996668.1,USA: Montona,WEST NA
2,AY996669.1,USA: Montona,WEST NA
2,AY996703.1,USA: New Mexico,WEST NA
2,AY996623.1,USA: New Mexico,WEST NA
2,AY996622.1,USA: New Mexico,WEST NA
2,AY996621.1,USA: New Mexico,WEST NA
2,AY996620.1,USA: New Mexico,WEST NA
2,AY996619.1,USA: New Mexico,WEST NA
2,AY996618.1,USA: New Mexico,WEST NA
2,AY996617.1,USA: New Mexico,WEST NA
2,AY996616.1,USA: New Mexico,WEST NA
2,AY996686.1,USA: New Mexico,WEST NA
2,AY996685.1,USA: New Mexico,WEST NA
2,AY996684.1,USA: New Mexico,WEST NA
2,AY996626.1,USA: New Mexico,WEST NA
2,AY996627.1,USA: New Mexico,WEST NA
2,AY996628.1,USA: New Mexico,WEST NA
2,AY996702.1,USA: New Mexico,WEST NA
2,AY996704.1,USA: Oregon,WEST NA
2,AY996710.1,USA: Oregon,WEST NA
2,MZ008435.1,USA: oregon,WEST NA
2,MZ007502.1,USA: oregon,WEST NA
2,AY996718.1,USA: Oregon,WEST NA
2,AY996711.1,USA: Oregon,WEST NA
2,AY996648.1,USA: Oregon,WEST NA
2,AY996631.1,USA: Oregon,WEST NA
2,AY996640.1,USA: Oregon,WEST NA
2,AY996705.1,USA: Oregon,WEST NA
2,AY996663.1,USA: Oregon,WEST NA
2,AY996713.1,USA: Utah,WEST NA
2,AY996712.1,USA: Utah,WEST NA
2,AY996687.1,USA: Utah,WEST NA
2,AY996690.1,USA: Utah,WEST NA
2,AY996689.1,USA: Washington,WEST NA
2,AY213553.1,USA: Washington,WEST NA
2,AY996717.1,USA: Washington,WEST NA
2,AY996676.1,USA: Washington,WEST NA
2,AY996673.1,USA: Washington,WEST NA
2,AY996666.1,USA: Washington,WEST NA
2,AY996696.1,USA: Washington,WEST NA
2,AY996692.1,USA: Washington,WEST NA
2,AY996691.1,USA: Washington,WEST NA
2,AY996682.1,USA: Washington,WEST NA
2,AY996664.1,USA: Washington,WEST NA
2,AY996655.1,USA: Washington,WEST NA
2,AY996651.1,USA: Washington,WEST NA
2,AY996649.1,USA: Washington,WEST NA
2,AY996647.1,USA: Washington,WEST NA
2,AY996645.1,USA: Washington,WEST NA
2,AY996634.1,USA: Washington,WEST NA
2,AY996632.1,USA: Washington,WEST NA
2,AY996630.1,USA: Washington,WEST NA
2,AY996698.1,USA: Washington,WEST NA
2,AY996697.1,USA: Washington,WEST NA
2,AY996679.1,USA: Washington,WEST NA
2,AY996677.1,USA: Washington,WEST NA
2,AY996662.1,USA: Washington,WEST NA
2,AY996671.1,USA: Washington,WEST NA
2,AY996670.1,USA: Washington,WEST NA
2,AY996667.1,USA: Washington,WEST NA
3,FJ711615.1,Argentina,TEMP. SOUTH AMERICA
3,FJ660936.1,Argentina,TEMP. SOUTH AMERICA
3,FJ711614.1,Argentina,TEMP. SOUTH AMERICA
3,FJ711613.1,Argentina,TEMP. SOUTH AMERICA
3,10fd66a9ebefd4693797c0039fba20d2,Argentina,TEMP. SOUTH AMERICA
3,10fd66a9ebefd4693797c0039fba20d2_2,Argentina,TEMP. SOUTH AMERICA
3,9f550b544d2af389ddec54c43f580eba,Argentina,TEMP. SOUTH AMERICA
3,FJ711612.1,Argentina,TEMP. SOUTH AMERICA
3,FJ660943.1,Argentina,TEMP. SOUTH AMERICA
3,FJ660937.1,Argentina,TEMP. SOUTH AMERICA
3,FJ660935.1,Argentina,TEMP. SOUTH AMERICA
3,ed79945b9e10d984c9203cbbac70ced2,Argentina,TEMP. SOUTH AMERICA
3,ed79945b9e10d984c9203cbbac70ced2_2,Argentina,TEMP. SOUTH AMERICA
3,ed79945b9e10d984c9203cbbac70ced2_3,Argentina,TEMP. SOUTH AMERICA
3,ed79945b9e10d984c9203cbbac70ced2_4,Argentina,TEMP. SOUTH AMERICA
3,ed79945b9e10d984c9203cbbac70ced2_5,Argentina,TEMP. SOUTH AMERICA
3,ed79945b9e10d984c9203cbbac70ced2_6,Argentina,TEMP. SOUTH AMERICA
3,ed79945b9e10d984c9203cbbac70ced2_7,Argentina,TEMP. SOUTH AMERICA
3,ed79945b9e10d984c9203cbbac70ced2_8,Argentina,TEMP. SOUTH AMERICA
3,ed79945b9e10d984c9203cbbac70ced2_9,Argentina,TEMP. SOUTH AMERICA
3,ed79945b9e10d984c9203cbbac70ced2_1,Argentina,TEMP. SOUTH AMERICA
3,ed79945b9e10d984c9203cbbac70ced2_1,Argentina,TEMP. SOUTH AMERICA
3,ed79945b9e10d984c9203cbbac70ced2_1,Argentina,TEMP. SOUTH AMERICA
3,ed79945b9e10d984c9203cbbac70ced2_1,Argentina,TEMP. SOUTH AMERICA
3,ed79945b9e10d984c9203cbbac70ced2_1,Argentina,TEMP. SOUTH AMERICA
3,a5eac16fdfe70b9c2df1a3fc1b55ee30,Argentina,TEMP. SOUTH AMERICA
3,236cfc5fb20bda230c7077a9b3619233,Argentina,TEMP. SOUTH AMERICA
3,5713ec25bb9c7b901d63ce324bbe88cf,Argentina,TEMP. SOUTH AMERICA
3,fc8f84962a26d03e5517f07b330354cb,Argentina,TEMP. SOUTH AMERICA
3,b3e30ba1ccb0de2fb4b40028eb53d690,Argentina,TEMP. SOUTH AMERICA
3,9d33d3fe240e3ec327de3cdd71356ea9..,Argentina,TEMP. SOUTH AMERICA
3,0ab192fe31c0c72753e96033f6a0d77a..,Argentina,TEMP. SOUTH AMERICA
3,8cd20a0b3d2c4b7f9d37f1ae43cdb580..,Argentina,TEMP. SOUTH AMERICA
3,65180d05eb3a5e3a6c5c22d86fe91c91..,Argentina,TEMP. SOUTH AMERICA
3,bd60a4f527adf501482b3e6aacbba395..,Argentina,TEMP. SOUTH AMERICA
3,7bc1cc52d8f16dbd2708f1e2f8473795..,Argentina,TEMP. SOUTH AMERICA
3,1584e6598b5a7cb7e971ba29804c79bf..,Argentina,TEMP. SOUTH AMERICA
3,aca7b783ebda4cd55dd41185c8d622f1..,Argentina,TEMP. SOUTH AMERICA
3,c74915d75130df9fcc0a04ff50aeee53..,Argentina,TEMP. SOUTH AMERICA
3,aead9ee56fd72298f1a6b4bddc0358b7..,Argentina,TEMP. SOUTH AMERICA
3,250a6ee1c9781896a357122ab4c1b16f..,Argentina,TEMP. SOUTH AMERICA
3,c6ffed6766c58d9afcde67f33869b376..,Argentina,TEMP. SOUTH AMERICA
3,0fcbc8df19d240ddd66719c5b1bf6341..,Argentina,TEMP. SOUTH AMERICA
3,65e0b9ce05c2b7ba36a5aa2825d4e382..,Argentina,TEMP. SOUTH AMERICA
3,ade65c1048109d5d8780ba4d702c95fb..,Argentina,TEMP. SOUTH AMERICA
3,977ae743c9b64396b91d561ecbcb350e_2,Argentina,TEMP. SOUTH AMERICA
3,977ae743c9b64396b91d561ecbcb350e_4,Argentina,TEMP. SOUTH AMERICA
3,977ae743c9b64396b91d561ecbcb350e_5,Argentina,TEMP. SOUTH AMERICA
3,7a2cea904b75a8df458363c33910ac6f..,Argentina,TEMP. SOUTH AMERICA
3,ad8e59cbe4d2fda2427d1d97750e0d36..,Argentina,TEMP. SOUTH AMERICA
3,ad8e59cbe4d2fda2427d1d97750e0d36_2,Argentina,TEMP. SOUTH AMERICA
3,dc32968b5fe916b7045bb852ca7686ac..,Argentina,TEMP. SOUTH AMERICA
3,1ef45946d9d4d11fddfdd5fea5b86a25..,Argentina,TEMP. SOUTH AMERICA
3,22473ede3aeb3b6854dcb3600b11c404..,Argentina,TEMP. SOUTH AMERICA
3,5ca9a208987b0faad3bc81d24652ac6c..,Argentina,TEMP. SOUTH AMERICA
3,e4881b52b8ee3be8a16f1802185a1710..,Argentina,TEMP. SOUTH AMERICA
3,9ef557cea4d2104974c1b732fe8c87a7..,Argentina,TEMP. SOUTH AMERICA
3,9ef557cea4d2104974c1b732fe8c87a7_2,Argentina,TEMP. SOUTH AMERICA
3,9ef557cea4d2104974c1b732fe8c87a7_3,Argentina,TEMP. SOUTH AMERICA
3,9ef557cea4d2104974c1b732fe8c87a7_4,Argentina,TEMP. SOUTH AMERICA
3,f1cfc5dce3c170459e3330713a65d5a0..,Argentina,TEMP. SOUTH AMERICA
3,c4a9d5bb9c024e39ed2a06c0b42ace91..,Argentina,TEMP. SOUTH AMERICA
3,458e72ace03f4e87b25f2a2dd5241291..,Argentina,TEMP. SOUTH AMERICA
3,9a6aa1f96eadc284da93fbe7c6478ef1..,Argentina,TEMP. SOUTH AMERICA
3,c097d28855a23fd3b15002671995721e..,Argentina,TEMP. SOUTH AMERICA
3,e82956f32dd3706c4639e433060de10f..,Argentina,TEMP. SOUTH AMERICA
3,ae588a2d992830142a99d129f49859d3..,Argentina,TEMP. SOUTH AMERICA
3,7fd9d1f2cc36610ad1357b84c91c7385..,Argentina,TEMP. SOUTH AMERICA
3,f76feace539e5536e0e20246a0b9794f..,Argentina,TEMP. SOUTH AMERICA
3,f76feace539e5536e0e20246a0b9794f_2,Argentina,TEMP. SOUTH AMERICA
3,b3011ed6250ad246f0fbeff16de21c24..,Argentina,TEMP. SOUTH AMERICA
3,b3011ed6250ad246f0fbeff16de21c24_2,Argentina,TEMP. SOUTH AMERICA
3,b3011ed6250ad246f0fbeff16de21c24_4,Argentina,TEMP. SOUTH AMERICA
3,b3011ed6250ad246f0fbeff16de21c24_5,Argentina,TEMP. SOUTH AMERICA
3,ce96529bcc989df5f8c6d7e6b7872475..,Argentina,TEMP. SOUTH AMERICA
3,89e5a9ea325a23a31321a537e75a13cc..,Argentina,TEMP. SOUTH AMERICA
3,89e5a9ea325a23a31321a537e75a13cc_2,Argentina,TEMP. SOUTH AMERICA
3,d34a0fc14a5ff0b07c69482380ffa276..,Argentina,TEMP. SOUTH AMERICA
3,c0e7bcda2298d4f010c8f99e9d247b18..,Argentina,TEMP. SOUTH AMERICA
3,4d1c44815cae0d2d6b61cc6aee574eb5..,Argentina,TEMP. SOUTH AMERICA
3,ec2a247aed72ba3cb067af57af740853..,Argentina,TEMP. SOUTH AMERICA
3,67b18779b505114ae996f7278879c27e..,Argentina,TEMP. SOUTH AMERICA
3,f7454cdaf25859bf5a69c49e121ad741..,Argentina,TEMP. SOUTH AMERICA
3,b85fa7eb2fd2c253e6c443b92bd1b8e5..,Argentina,TEMP. SOUTH AMERICA
3,78ee9067c766fa74e83eb256ff97454f..,Argentina,TEMP. SOUTH AMERICA
3,0ee739448cbeab2849f1b293e6d40ed6..,Argentina,TEMP. SOUTH AMERICA
3,80b8c00fb2231fa770c9afee7be92330..,Argentina,TEMP. SOUTH AMERICA
3,60d4ece1a4b04647dc6d540461c724dc..,Argentina,TEMP. SOUTH AMERICA
3,a78b91969a339a68aca72347c8704eb0..,Argentina,TEMP. SOUTH AMERICA
3,8a0f2accb00b5f3780b1e08467c64ba6..,Argentina,TEMP. SOUTH AMERICA
3,712f3efa189da7cee11dd67c1e587f38..,Argentina,TEMP. SOUTH AMERICA
3,8966610e79bf0b5b458e5e7af315ddf5_2,Argentina,TEMP. SOUTH AMERICA
3,ad67716b031043a3e4c6990a07600ea9_2,Argentina,TEMP. SOUTH AMERICA
3,4bb7e818c63ab0cb3b3cb0f154217f01..,Argentina,TEMP. SOUTH AMERICA
3,6a8ec48f4dd3e765b26339ef53864e56..,Argentina,TEMP. SOUTH AMERICA
3,0f5c788ac08f867a46b38cca952bd05b..,Argentina,TEMP. SOUTH AMERICA
3,a39e7b8db29cff2325e0ab0c0f87ee57..,Argentina,TEMP. SOUTH AMERICA
3,ae0421be637e8faf12c2973e1b64f513..,Argentina,TEMP. SOUTH AMERICA
3,8f9b9aff6e056d688085d2693afb1ef2,Argentina,TEMP. SOUTH AMERICA
3,82a5973fc42c21f19e6d1f1a7d9891ac,Argentina,TEMP. SOUTH AMERICA
3,89cb5f803b7095ab2e3d57b413626051,Argentina,TEMP. SOUTH AMERICA
3,81ec9e197b5f400a896e3eccd648ad85,Argentina,TEMP. SOUTH AMERICA
3,ae6c6eafb9010b3b8f66159bd9d9a4fd..,Argentina,TEMP. SOUTH AMERICA
3,8c3ec29048cf5202ad3a185c6bbf014b..,Argentina,TEMP. SOUTH AMERICA
3,266a7845ceafcfa47e25ab49f2cd5d9b..,Argentina,TEMP. SOUTH AMERICA
3,ae40ffcbcd256f772f2e4e7f28b5d2c7..,Argentina,TEMP. SOUTH AMERICA
3,ae40ffcbcd256f772f2e4e7f28b5d2c7_3,Argentina,TEMP. SOUTH AMERICA
3,ae40ffcbcd256f772f2e4e7f28b5d2c7_5,Argentina,TEMP. SOUTH AMERICA
3,4119c83af893e819aac36c082d0f5e8e..,Argentina,TEMP. SOUTH AMERICA
3,883377fbce2493b7b5d05a8785c23f47..,Argentina,TEMP. SOUTH AMERICA
3,e0396344273f86a0238a3f1327184060..,Argentina,TEMP. SOUTH AMERICA
3,ed0ebb85864e500f592d60e6aa2ffbcc..,Argentina,TEMP. SOUTH AMERICA
3,dc6ae286c4124a88da66b821a08d051b..,Argentina,TEMP. SOUTH AMERICA
3,5977871a722ea42970fdbc9c170bb2ba_2,Argentina,TEMP. SOUTH AMERICA
3,b61cd2d5100d4b4456d4b6ee30bfb3b9..,Argentina,TEMP. SOUTH AMERICA
3,4a9dedf95089ac8c3ef90349166e0a3e..,Argentina,TEMP. SOUTH AMERICA
3,4179eeb5cf67bb956d170593f6a5e125..,Argentina,TEMP. SOUTH AMERICA
3,4f5331327cc975f27069ee132aca37b8..,Argentina,TEMP. SOUTH AMERICA
3,070c4b4724f70236fd93463446db5fe7..,Argentina,TEMP. SOUTH AMERICA
3,AF448418.1,Chile,TEMP. SOUTH AMERICA
3,AF448417.1,Chile,TEMP. SOUTH AMERICA
3,e452ef2988a863ea0f5c94a5aa8568fb,Chile,TEMP. SOUTH AMERICA
3,a11dca0718e9b4f39a486b3d95b598b0,Chile,TEMP. SOUTH AMERICA
3,7eafedc56f5bd80553a53bb27f151867,Chile,TEMP. SOUTH AMERICA
3,4887fa36e7659c2b0a1ccb0262a9057e,Chile,TEMP. SOUTH AMERICA
3,fb2fa37c84a3c5113ccd69dee6aff267..,Chile,TEMP. SOUTH AMERICA
3,6f79373845bd25a70cd6d852504816c3..,Chile,TEMP. SOUTH AMERICA
3,d0e28ce8699ba988f293b45bc1380352..,Chile,TEMP. SOUTH AMERICA
3,c6f8bfcdb261f0b55078ecd1f9dab4d1..,Chile,TEMP. SOUTH AMERICA
3,c2f9103e82bc29812e937ea774776990..,Chile,TEMP. SOUTH AMERICA
3,b1b0a8998a0439a6856313a977989b15..,Chile,TEMP. SOUTH AMERICA
3,977ae743c9b64396b91d561ecbcb350e..,Chile,TEMP. SOUTH AMERICA
3,977ae743c9b64396b91d561ecbcb350e_3,Chile,TEMP. SOUTH AMERICA
3,d2c0ae692c7df5bf87a9367acaa5a438..,Chile,TEMP. SOUTH AMERICA
3,e4128838810dd765d7b3f4e0a3c92356..,Chile,TEMP. SOUTH AMERICA
3,5daa21d8d14e3064774c82fc4da22cb4..,Chile,TEMP. SOUTH AMERICA
3,34b9543bc850b14b8770936a00979e74..,Chile,TEMP. SOUTH AMERICA
3,b3011ed6250ad246f0fbeff16de21c24_3,Chile,TEMP. SOUTH AMERICA
3,e986122f8ca3d45e4f7bc838f09dfe38..,Chile,TEMP. SOUTH AMERICA
3,63684998b073053daeacea8e5a6ef4f9..,Chile,TEMP. SOUTH AMERICA
3,d421ccbaafd73bf23dcbecabea1f1418..,Chile,TEMP. SOUTH AMERICA
3,b1de54f41cc5c1aefa871cb3c78c1da6..,Chile,TEMP. SOUTH AMERICA
